epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,289.081,1.04239,0.73224,1.1718,0.93603,0.95593,0.98128,0.6668,1.16968,0.61208,1.33572,0.000456863,0.000456863,0.000456863
43,295.743,1.00995,0.69111,1.14532,0.9581,0.98489,0.99027,0.66463,1.19556,0.55801,1.38198,0.00044925,0.00044925,0.00044925
44,302.381,1.01913,0.69747,1.16979,0.97165,0.97405,0.98763,0.67132,1.16308,0.55805,1.33168,0.000441637,0.000441637,0.000441637
45,309.008,1.01082,0.69579,1.1423,0.97645,0.96103,0.98174,0.66935,1.17608,0.54702,1.35807,0.000434024,0.000434024,0.000434024
46,315.614,1.02322,0.69603,1.14941,0.97782,0.9712,0.98697,0.67783,1.14621,0.53505,1.33598,0.000426411,0.000426411,0.000426411
47,322.304,0.99715,0.6877,1.14609,0.97055,0.97889,0.99147,0.69266,1.12789,0.51758,1.31803,0.000418797,0.000418797,0.000418797
48,328.963,0.97261,0.65288,1.13825,0.96752,0.98667,0.99344,0.68662,1.12919,0.51475,1.32314,0.000411184,0.000411184,0.000411184
49,335.57,0.95385,0.64283,1.11833,0.98418,0.97504,0.99031,0.69161,1.12373,0.49971,1.31372,0.000403571,0.000403571,0.000403571
50,342.202,0.97932,0.65573,1.1324,0.98146,0.97221,0.98852,0.68667,1.13353,0.51973,1.30776,0.000395958,0.000395958,0.000395958
51,348.838,0.96083,0.65031,1.12843,0.98032,0.96854,0.98925,0.69211,1.12747,0.5088,1.29966,0.000388345,0.000388345,0.000388345
52,355.456,0.94815,0.62412,1.13097,0.98052,0.96275,0.98641,0.6889,1.14748,0.51236,1.32809,0.000380732,0.000380732,0.000380732
53,362.133,0.92071,0.60826,1.11406,0.96644,0.97781,0.98696,0.67519,1.18266,0.52164,1.39569,0.000373119,0.000373119,0.000373119
54,368.754,0.96457,0.61913,1.126,0.98305,0.98537,0.98954,0.68131,1.15315,0.50185,1.3539,0.000365506,0.000365506,0.000365506
55,375.371,0.95818,0.63127,1.11951,0.97441,0.96231,0.98447,0.67484,1.17132,0.521,1.37474,0.000357893,0.000357893,0.000357893
56,382.021,0.92002,0.58841,1.09993,0.96807,0.97205,0.98639,0.68988,1.13085,0.52105,1.3128,0.00035028,0.00035028,0.00035028
57,388.641,0.95518,0.61785,1.1345,0.96777,0.96666,0.98747,0.68488,1.17325,0.51404,1.33684,0.000342666,0.000342666,0.000342666
