2,2025-05-23 14:54:05,0,{},captures/detect_2025-05-23_14-54-05_2.jpg
3,2025-05-23 14:54:07,0,{},captures/detect_2025-05-23_14-54-07_3.jpg
4,2025-05-23 14:54:08,0,{},captures/detect_2025-05-23_14-54-08_4.jpg
5,2025-05-23 14:54:09,0,{},captures/detect_2025-05-23_14-54-09_5.jpg
6,2025-05-23 14:54:11,0,{},captures/detect_2025-05-23_14-54-11_6.jpg
7,2025-05-23 14:54:12,2,{"ongvang": 1, "chauchau": 1},captures/detect_2025-05-23_14-54-12_7.jpg
8,2025-05-23 14:54:14,1,{"boxit": 1},captures/detect_2025-05-23_14-54-14_8.jpg
9,2025-05-23 14:54:16,2,{"boxit": 1, "ongvang": 1},captures/detect_2025-05-23_14-54-16_9.jpg
10,2025-05-23 14:54:17,3,{"boxit": 1, "ongvang": 2},captures/detect_2025-05-23_14-54-17_10.jpg
11,2025-05-23 14:54:19,2,{"ongvang": 1, "borua": 1},captures/detect_2025-05-23_14-54-19_11.jpg
12,2025-05-23 14:54:20,2,{"ongvang": 1, "borua": 1},captures/detect_2025-05-23_14-54-20_12.jpg
13,2025-05-23 14:54:22,2,{"ongvang": 1, "borua": 1},captures/detect_2025-05-23_14-54-22_13.jpg
14,2025-05-23 14:54:23,3,{"ongvang": 2, "borua": 1},captures/detect_2025-05-23_14-54-23_14.jpg
15,2025-05-23 14:54:24,0,{},captures/detect_2025-05-23_14-54-24_15.jpg
16,2025-05-23 14:54:26,4,{"ongvang": 3, "borua": 1},captures/detect_2025-05-23_14-54-26_16.jpg
17,2025-05-23 14:54:27,1,{"ongvang": 1},captures/detect_2025-05-23_14-54-27_17.jpg
18,2025-05-23 14:54:29,1,{"ongvang": 1},captures/detect_2025-05-23_14-54-29_18.jpg
19,2025-05-23 14:54:30,1,{"boxit": 1},captures/detect_2025-05-23_14-54-30_19.jpg
20,2025-05-23 14:54:31,1,{"boxit": 1},captures/detect_2025-05-23_14-54-31_20.jpg
21,2025-05-23 14:54:33,2,{"chauchau": 1, "boxit": 1},captures/detect_2025-05-23_14-54-33_21.jpg
22,2025-05-23 14:54:34,4,{"chauchau": 1, "boxit": 1, "ongvang": 2},captures/detect_2025-05-23_14-54-34_22.jpg
23,2025-05-23 14:54:37,2,{"chauchau": 1, "ongvang": 1},captures/detect_2025-05-23_14-54-37_23.jpg
24,2025-05-23 14:54:38,2,{"chauchau": 1, "borua": 1},captures/detect_2025-05-23_14-54-38_24.jpg
25,2025-05-23 14:54:39,5,{"chauchau": 1, "borua": 2, "ongvang": 2},captures/detect_2025-05-23_14-54-39_25.jpg
26,2025-05-23 14:54:41,2,{"bohungdo": 2},captures/detect_2025-05-23_14-54-41_26.jpg
27,2025-05-23 14:54:42,1,{"ongvang": 1},captures/detect_2025-05-23_14-54-42_27.jpg
28,2025-05-23 14:54:44,4,{"ongvang": 1, "bohungdo": 2, "bonguala": 1},captures/detect_2025-05-23_14-54-44_28.jpg
29,2025-05-23 14:54:45,3,{"ongvang": 2, "bonguala": 1},captures/detect_2025-05-23_14-54-45_29.jpg
30,2025-05-23 14:54:46,1,{"ongvang": 1},captures/detect_2025-05-23_14-54-46_30.jpg
31,2025-05-23 14:54:48,1,{"borua": 1},captures/detect_2025-05-23_14-54-48_31.jpg
32,2025-05-23 14:54:49,4,{"bonguala": 1, "borua": 1, "boanhsang": 1, "bohungdo": 1},captures/detect_2025-05-23_14-54-49_32.jpg
33,2025-05-23 14:54:51,2,{"borua": 1, "bohungdo": 1},captures/detect_2025-05-23_14-54-51_33.jpg
34,2025-05-23 14:54:52,1,{"borua": 1},captures/detect_2025-05-23_14-54-52_34.jpg
35,2025-05-23 14:54:53,1,{"bohungdo": 1},captures/detect_2025-05-23_14-54-53_35.jpg
36,2025-05-23 14:54:55,0,{},captures/detect_2025-05-23_14-54-55_36.jpg
